   0.1 [sweep] 902-928 MHz, 200kHz steps, reporting anything > -95 dBm
   0.1 [sweep] station should read around -40 dBm at 30cm
  58.7 [DETECT] 902.800 MHz  rssi=-92.5 dBm
  58.9 [DETECT] 903.000 MHz  rssi=-90.0 dBm
  58.9 [DETECT] 903.200 MHz  rssi=-92.5 dBm
  58.9 [DETECT] 903.400 MHz  rssi=-89.5 dBm
  58.9 [DETECT] 903.600 MHz  rssi=-82.0 dBm
  58.9 [DETECT] 903.800 MHz  rssi=-83.5 dBm
  58.9 [DETECT] 904.000 MHz  rssi=-82.0 dBm
  59.4 [DETECT] 904.200 MHz  rssi=-88.0 dBm
  59.4 [DETECT] 904.400 MHz  rssi=-87.5 dBm
  59.4 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  59.9 [DETECT] 909.800 MHz  rssi=-76.0 dBm
  60.4 [DETECT] 912.001 MHz  rssi=-94.0 dBm
  60.4 [DETECT] 912.201 MHz  rssi=-92.5 dBm
  61.4 [DETECT] 920.801 MHz  rssi=-94.5 dBm
  62.4 [DETECT] 925.401 MHz  rssi=-70.5 dBm
  62.6 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  62.6 [sweep] pass 16 strongest=-70.5dBm @ 925.401MHz  detections=319
  62.6 [DETECT] 902.000 MHz  rssi=-75.0 dBm
  62.6 [DETECT] 902.200 MHz  rssi=-82.0 dBm
  62.6 [DETECT] 902.600 MHz  rssi=-94.5 dBm
  62.6 [DETECT] 902.800 MHz  rssi=-93.0 dBm
  62.8 [DETECT] 903.000 MHz  rssi=-92.0 dBm
  62.8 [DETECT] 903.200 MHz  rssi=-92.5 dBm
  62.8 [DETECT] 903.400 MHz  rssi=-89.5 dBm
  62.8 [DETECT] 903.600 MHz  rssi=-86.5 dBm
  62.8 [DETECT] 903.800 MHz  rssi=-85.5 dBm
  62.8 [DETECT] 904.000 MHz  rssi=-88.5 dBm
  63.3 [DETECT] 904.200 MHz  rssi=-86.5 dBm
  63.3 [DETECT] 904.400 MHz  rssi=-87.5 dBm
  63.3 [DETECT] 904.600 MHz  rssi=-92.5 dBm
  63.8 [DETECT] 910.601 MHz  rssi=-94.0 dBm
  64.3 [DETECT] 911.201 MHz  rssi=-94.0 dBm
  64.3 [DETECT] 911.401 MHz  rssi=-94.0 dBm
  64.3 [DETECT] 912.001 MHz  rssi=-93.5 dBm
  65.3 [DETECT] 920.401 MHz  rssi=-75.0 dBm
  66.5 [DETECT] 927.802 MHz  rssi=-93.0 dBm
  66.5 [sweep] pass 17 strongest=-75.0dBm @ 902.000MHz  detections=338
  66.5 [DETECT] 902.000 MHz  rssi=-93.0 dBm
  66.5 [DETECT] 902.200 MHz  rssi=-92.5 dBm
  66.5 [DETECT] 902.400 MHz  rssi=-93.5 dBm
  66.5 [DETECT] 902.600 MHz  rssi=-94.0 dBm
  66.7 [DETECT] 902.800 MHz  rssi=-93.5 dBm
  66.7 [DETECT] 903.000 MHz  rssi=-91.0 dBm
  66.7 [DETECT] 903.200 MHz  rssi=-88.0 dBm
  66.7 [DETECT] 903.400 MHz  rssi=-89.0 dBm
  66.7 [DETECT] 903.600 MHz  rssi=-88.0 dBm
  66.7 [DETECT] 903.800 MHz  rssi=-88.5 dBm
  67.2 [DETECT] 904.000 MHz  rssi=-91.5 dBm
  67.2 [DETECT] 904.200 MHz  rssi=-90.5 dBm
  67.2 [DETECT] 904.400 MHz  rssi=-92.5 dBm
  67.2 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  68.2 [DETECT] 911.401 MHz  rssi=-93.5 dBm
  68.2 [DETECT] 911.801 MHz  rssi=-94.5 dBm
  68.2 [DETECT] 912.001 MHz  rssi=-93.5 dBm
  68.2 [DETECT] 912.801 MHz  rssi=-65.5 dBm
  69.2 [DETECT] 917.801 MHz  rssi=-65.0 dBm
  70.2 [DETECT] 925.801 MHz  rssi=-94.5 dBm
  70.4 [DETECT] 927.802 MHz  rssi=-93.0 dBm
  70.4 [sweep] pass 18 strongest=-65.0dBm @ 917.801MHz  detections=359
  70.4 [DETECT] 902.000 MHz  rssi=-88.0 dBm
  70.4 [DETECT] 902.200 MHz  rssi=-91.0 dBm
  70.4 [DETECT] 902.400 MHz  rssi=-92.5 dBm
  70.4 [DETECT] 902.600 MHz  rssi=-91.0 dBm
  70.6 [DETECT] 902.800 MHz  rssi=-93.5 dBm
  70.6 [DETECT] 903.000 MHz  rssi=-93.0 dBm
  70.6 [DETECT] 903.200 MHz  rssi=-88.5 dBm
  70.6 [DETECT] 903.400 MHz  rssi=-91.0 dBm
  70.6 [DETECT] 903.600 MHz  rssi=-88.5 dBm
  70.6 [DETECT] 903.800 MHz  rssi=-88.5 dBm
  71.1 [DETECT] 904.000 MHz  rssi=-89.0 dBm
  71.1 [DETECT] 904.200 MHz  rssi=-90.5 dBm
  71.1 [DETECT] 904.400 MHz  rssi=-88.0 dBm
  71.1 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  71.1 [DETECT] 905.000 MHz  rssi=-80.5 dBm
  71.1 [DETECT] 905.200 MHz  rssi=-83.5 dBm
  72.1 [DETECT] 911.201 MHz  rssi=-94.0 dBm
  72.1 [DETECT] 911.401 MHz  rssi=-94.5 dBm
  72.1 [DETECT] 911.801 MHz  rssi=-94.5 dBm
  72.1 [DETECT] 912.001 MHz  rssi=-94.0 dBm
  72.6 [DETECT] 915.601 MHz  rssi=-89.0 dBm
  72.6 [DETECT] 915.801 MHz  rssi=-91.5 dBm
  73.6 [DETECT] 923.401 MHz  rssi=-67.5 dBm
  74.3 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  74.3 [sweep] pass 19 strongest=-67.5dBm @ 923.401MHz  detections=383
  74.3 [DETECT] 902.000 MHz  rssi=-94.0 dBm
  74.3 [DETECT] 902.200 MHz  rssi=-92.0 dBm
  74.3 [DETECT] 902.400 MHz  rssi=-94.0 dBm
  74.3 [DETECT] 902.800 MHz  rssi=-91.0 dBm
  74.5 [DETECT] 903.000 MHz  rssi=-89.5 dBm
